KEY,cn,en
",",，,","
...,...,...
:,：,: 
A,A,A
AC,AC,AC
ATTACHMENT,附件,ATTACHMENT
Account,账户,Account
AccountManager,账户管理,Account Management
AddFriendPrerequisite,需修理业余无线电后可添加好友,You need to repair your Amateur Radio to add friends.
Amount,数量,Amount
AskClaim,请求捐赠,Request donation
AskOperation.GeneralAlert.btnCancel,关闭,Close
AskOperation.GeneralAlert.btnConfirm,显示,Show
AskOperation.GeneralAlert.fmtContent,<size=24>%s</size>\n<align="left"><size=20>%s</size></align="right">,<size=24>%s</size>\n<align="left"><size=20>%s</size></align="right">
AskOperation.GeneralAlert.title,新事件,NEW EVENT
AskRequestClaimTitle,请求捐赠,Request donation
AttackLock,攻击锁定,Attack Lockon
Auto lock target on hit,命中时自动锁定,Auto lock when hit
Automatic,自动,AUTO
B,B,B
Backpack,背包,Backpack
BeReceived,已领取,Collected
BeginWork,开始工作,Start working
BuildHelpLog,<size=24><color=#fcaa09><ROLE_NAME></color>帮助过您的<color=#fcaa09><Build_Id></color></size>,<size=24><color=#fcaa09><ROLE_NAME></color> has helped you with your <color=#fcaa09><Build_Id></color></size>
Build_Door,门,Door
Build_Exist,当前位置已有{0},{0} already exists at the current location.
Build_Floor,地板,Floor
Build_Wall,墙壁,Wall
Build_Window,窗户,Window
BuildingDonate,升级所需材料,Material required
Buy Amount,购买数量,Purchase Quantity
Buy,购买,Buy
CD Key,CD Key,CD Key
CanGetGuildContriCnt,可获取贡献值:,Obtainable Contribution:
CantClickGuildBossAlert,请注意你的身份，不要对所长无理,Please respect your Admin
ChanelEmpty,查无此频段,No such band found
ChannelSet,频道设置,Channel Settings
Character,角色,Character
ChoiseServer,选服,Choose Server
Clear,清除,Clear
Close,关闭,Close
Complete,完成,Complete
ContactCustomerService,联系客服,Contact Customer Service
Copy,复制,Copy
Create Squad,创建队伍,Create Team
Create character,创建角色,Create Character
CurContribution,当前贡献值:,Current Contribution
DailyTaskRestTime,重置倒计时：,Reset Countdown:
Deal,成交,Deal
DeathByHunger,死因:饥渴,of hunger
DeathByHungerTitle,你死了,You're dead
DeathByMonster,杀人者:{0},by {0}
DeathByMonsterTitle,你被杀死了,You have been killed
DeathByOtherUser,杀人者:{0},by {0}
DeathByOtherUserTitle,你被杀死了,You have been killed
DeathByStarve,死因:饥饿,of starve
DeathByStarveTitle,你死了,You're dead
DeathByThirst,死因:缺水,of thirst
DeathByThirstTitle,你死了,You're dead
DeathByUnknown, , 
DeathByUnknownTitle,你死了,You're dead
DeathByYourself, , 
DeathByYourselfTitle,你自杀了,You killed yourself
DissolveSomeoneElse,还有其他玩家，不能解散,There are other players. Can't disband.
DoneCount,已完成%d,Completed %d
Downstairs,楼下,Downstairs
DragLookAround ,拖动屏幕查看营地,Drag screen to check camp
Drive,驾驶,Drive
Empty mailbox,空邮箱,Empty Mailbox
Enter Account...,输入帐号...,Enter account...
Enter Password...,输入密码...,Enter password...
Enter,进入,Enter
EntranceNotOpen,关卡尚未开启,Level not open yet
Equip,装备,Equip
Equipment,装备,Equipment
Explore,探索,Explore
Extranet,外网,External network
FAQ,常见问题,FAQ
Face,脸型,Face
Facebook,Facebook,Facebook
